GO ID:,Agency:,Close Date & Time:,Primary Category:,Publish Date:,Location:,Selection Process:,Description:,Eligibility:,Grant Activity Timeframe:,Total Amount Available (AUD):,Instructions for Application Submission:,Other Instructions:,Internal Reference ID:,FO Reference:,Addenda Available:,Estimated Grant Value (AUD):,Secondary Category:,Co-sponsored with:
GO5775,Attorney-General's Department,"30-Jun-2023 11:30 pm (ACT Local Time)
Show close time for other time zones",151004 - Legal Services,27-Sep-2022,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Demand Driven,A legal financial assistance scheme to assist individuals and entities to meet the costs of legal representation and disbursements associated with being requested to engage with the Royal Commission into the Robodebt Scheme.,"Legal financial assistance may be provided to entities – including individuals – for their reasonable legal representation and disbursement costs if they are:
·         called, or granted leave to appear, as a witness at a hearing of the Royal Commission
·         requested to attend or are attending an interview of the Royal Commission
·         requested to provide a written statement that will be used as evidence of the Royal Commission
·         required to comply with a notice to produce issued by the Royal Commission.
If your organisation has been called by the Royal Commission, the organisation will be assessed to determine whether it can meet the cost of its legal representation without incurring serious financial difficulty. If you have been called in your personal capacity, you will be exempt from an assessment of financial circumstances.","Assessment timeframes
Completed applications will be assessed within 21 days. Incomplete applications will not be assessed. We will notify you if your application is incomplete to request missing information.
If you receive less than 21 days' notice of appearing or attending an interview of the Royal Commission, we will try to assess your application before the date of your appearance
How payments are determined
If a grant is approved, we will only pay after the work has been performed and you have lodged a claim with us. The Commonwealth legal financial assistance - Assessment of costs sets the maximum amount that we can pay.","$607,000.00","Access to the scheme is through direct application to Legal Financial Assistance Casework at the Attorney-General's Department.
Legal financial assistance for people engaging with the Royal Commission into the Robodebt Scheme.
Alternatively, apply by downloading the application form (in GO Documents), and emailing the completed form to finass@ag.gov.au with any attachments.
If you cannot email the application, or need further information, telephone Legal Financial Assistance Casework on 02 6141 4770 or 1800 117 995 between 8:30am and 5:00pm, Monday to Friday.","Legal Framework
The Commonwealth Guidelines for Legal Financial Assistance 2012 establish the Royal Commission and Inquiries scheme.
The Commonwealth Guidelines for Legal Financial Assistance 2012: Addendum for the Royal Commission into Robodebt modify how the guidelines operate.
All documents can be found in GO Documents.",,,,,,
GO5785,National Emergency Management Agency,"30-Jun-2023 11:30 pm (ACT Local Time)
Show close time for other time zones",181000 - Disaster Relief,5-Oct-2022,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Demand Driven,"Where the Australian Government has made disaster recovery payments available, the Prime Minister or Cabinet may also decide to provide a similar payment to eligible New Zealand special category visa (subclass 444) holders residing in Australia who have been directly affected by a major disaster.
This includes the ex-gratia Disaster Recovery Allowance (ex-gratia DRA) and the ex-gratia Disaster Recovery Payment (ex-gratia DRP). Ex-gratia DRA provides short-term income support where the Disaster Recovery Allowance (DRA) has been made available. Ex-gratia DRP provides a one-off, non means tested payment where the Australian Government Disaster Recovery Payment (DRP) has been made available. These payments are delivered consistently with the conditions and eligibility of DRA and DRP under the Social Security Act 1991.","The Australian Government helps eligible individuals:
Ex-gratia Disaster Recovery Allowance—who can demonstrate their income has been affected as a direct result of a disaster.
Ex-Gratia Disaster Recovery Payment—who have been adversely affected by a major disaster in Australia.",,,"Claimants are required to lodge a claim form with the Department of Human Services (DHS) in person, by telephone, mail or fax.
All claims for assistance must be lodged within six months from the day the Minister for Justice declares an event is a major disaster and signs the Ministerial Determinations under section 36 and 1061L of the Social Security Act 1991.","More information about the Australian Government's disaster recovery assistance is available on the Disaster Assist website.
More information on these payments can be found on the Services Australia website or by calling on 180 22 66.",Replace GO275,,,,,
GO5867,Department of Health and Aged Care,"30-Jun-2023 2:00 pm (ACT Local Time)
Show close time for other time zones",101001 - Aged Care,1-Dec-2022,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Demand Driven,"The Aged Care Infection Prevention and Control Training program was announced in the 2022-23 Budget as part of the Australian Government’s response to COVID-19 in aged care.
The purpose of this grant opportunity is to provide support for more nurses in residential aged care to access infection prevention and control (IPC) leadership training and ensure residential aged care services are well prepared to prevent or manage future infectious disease outbreaks including influenza and COVID-19.
Support is available for up to two suitable Registered Nurses or Enrolled Nurses in each eligible residential aged care service for costs related to suitable training, study leave and the backfilling of staff during periods of study leave. Eligible IPC training courses must meet the requirements for an IPC Lead. Further information can be found on the infection prevention and control leads page on the department’s website.
Eligible residential aged care services with an existing IPC Lead may apply through this grant opportunity.
Providers of eligible residential aged care services including Residential Aged Care Facilities (RACFs), Multi-Purpose Service (MPS) providers, and providers delivering residential care services under the National Aboriginal and Torres Strait Islander Flexible Aged Care Program (an approved NATSIFACP provider) can apply.
Training must commence between 1 July 2022 and 30 June 2023 and be completed by the date specified in your grant agreement (no later than 31 December 2023).
To view the grant opportunity documents, please select the red ""Grant Opportunity Documents"" button on the left hand side.","To be eligible to apply you must be an Australian Government funded:
approved Residential Aged Care Provider;
Multi-Purpose Service (MPS) provider; or
providers delivering residential aged care services under the Commonwealth National Aboriginal and Torres Strait Islander Flexible Aged Care Program (an approved NATSIFACP provider).
In addition to the above eligibility criteria, eligible applicants must satisfy the following:
each eligible residential aged care service may only support up to two Registered Nurses or Enrolled Nurses, who are engaged onsite and dedicated to that service, to undertake training;
the identified training participant/s must be directly employed by the eligible residential aged care service;
undertake a specialist IPC training course that qualifies the participant to perform as an IPC Lead for residential aged care. For an IPC training course to be deemed suitable, it must:
focus on infection prevention and control;
be specified as commensurate with/ at the Australian Qualifications Framework level 8 (AQF8); and
have an assessment, or assessments, that facilitate successful completion of the course.
training must commence between 1 July 2022 and 30 June 2023 and be completed by the date specified in your grant agreement (no later than 31 December 2023).
RN or EN training participants do not have an existing qualification that meet the criteria of a qualified IPC Lead for residential aged care.",,"$36,938,000.00","Submit your application by the closing date and time using the Online Application Form Link located via the ""Grant Opportunity Documents"" button on the left hand side.
Once you have submitted your application using the online application form link you will receive an automatic email with your Submission Reference ID. Retain this number if you wish to query your application with the Department.",Note the 2mb limit per attachment in the application form. Multiple files/documents should be scanned into a single document. Compressed or zip files are not accepted. File names must be unique and not include foreign characters.,P3340,P3340,View Addenda,,,
GO5993,Department of Finance,"30-Jun-2023 12:00 pm (ACT Local Time)
Show close time for other time zones",121002 - Cultural Heritage,13-Jan-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Closed Non-Competitive,"The objective of the Grants in Aid Program is to support an efficient and high-performing public sector by providing assistance to non-profit making organisations for the provision of support on services to benefit a wide section of the community, directly or indirectly, in a demonstrable way. For example, by providing direct services to groups with special needs or support for activities which the Government would otherwise perform at greater expense.
Grant in Aid recipients have general objectives acceptable to the Australian Government and are representative of the parties concerned. Grant in aid recipients support an efficient and high-performing public sector through their contributions to public policy debate. Grant in Aid recipients also provide information to the Australian Government in raising awareness and prompting improvements of public sector governance.
Recipients also have appropriate expertise and are able to provide some input (either monetary or non-monetary) to the outcome they provide.
The recipients of Grants in Aid have been determined over a number of years, under the authority of government. Access to Grants in Aid is limited to the identified recipients and is dependent upon their ongoing compliance and adherence to all eligibility criteria and reporting requirements.
The Grant in Aid program, administered by the Department of Finance, is a continuous non-competitive targeted grant program. Entities that are not currently participating in the current process, cannot apply for funding, as funding for the program is closed to new applicants.
The Grant in Aid program allows grant recipients to continue the development of their organisations, in the fields of humanities research, public policy, science and the promotion of animal welfare.","Eligible applications will be considered through a restricted non-competitive grant process, which includes the provision of satisfactory responses to the grant application questions. Only applications from the following will be considered:
    Chifley Research Centre Limited
Menzies Research Centre Limited
Page Research Centre Limited
Green Institute Limited
Australian Institute of Policy and Science
RSPCA Australia Inc.
Royal Humane Society of Australia Inc.",,,"All grant applications must be received using the relevant application form, which will be provided to each applicant, once the previous audited financial statements have been received by the Department of Finance. 
The application form can be returned to the Department of Finance, by mail or email, to:
Department of Finance
Discretionary Payments Section
1 Canberra Avenue
FORREST   ACT   2603
or
sfc@finance.gov.au ",,Grant in Aid,,,,,
GO6038,National Health and Medical Research Council (NHMRC),"30-Jun-2023 5:00 pm (ACT Local Time)
Show close time for other time zones",231013 - Medical Research,3-Feb-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Targeted or Restricted Competitive,"NHMRC aims to support Australian-based researchers who are participating as collaborators in transnational research projects through The Network of European Funding for Neuroscience Research (NEURON) Call for Proposals for Multinational Research Projects on Mechanisms of Resilience and Vulnerability to Environmental Challenges in Mental Health.
This upcoming call will consider applications that have a focus on at least one of the following areas:
Fundamental research addressing mental health vulnerability and resilience including the pathogenesis, aetiology, progression, treatment, and prevention of mental diseases initiated by exposure to adverse environmental challenges. This may include the use of knowledge on neurobiological mechanisms for the development of innovative technologies with the potential to promote mental health, reduce the incidence of mental disorders and improve clinical outcomes.
Clinical research addressing mental health vulnerability and resilience aiming to develop novel strategies for prevention, diagnosis, patient stratification, therapy and/or rehabilitation for mental diseases initiated by exposure to adverse environmental challenges. This may include research proposals aiming at the identification of neurobiological targets to enhance resilience.
Further information and the NERUON Call Text: https://www.neuron-eranet.eu/joint-calls/bio-medical/2023-resilience/
 ","Applications will only be accepted from NHMRC approved Administering Institutions. A list of NHMRC approved Administering Institutions is available at:
https://www.nhmrc.gov.au/funding/manage-your-funding/nhmrcs-administering-institutions
Applications must satisfy all the requirements set out in the NHMRC-NEURON 2023: Mechanisms of Resilience and Vulnerability to Environmental Challenges in Mental Health Guidelines.",1 to 3 years,"$3,000,000.00",Applications must be submitted electronically using NHMRC’s online grants management system (Sapphire) unless otherwise advised by NHMRC,"The following information is specific to the NHMRC application process for Australian-based regular partners of consortia which have been invited to submit full applications by NEURON:
The NEURON secretariat will advise NHMRC of those invited to submit full applications.
NHMRC will then invite the relevant Australian researchers via email to submit applications for NHMRC funding through Sapphire.
Australian applicants must provide all documentation and budget requests as instructed in the Grant Guidelines document.",,NHMRC-NEURON Funding Call 2023,,"From $0.00 to $3,000,000.00",,
GO3069,Attorney-General's Department,"1-Jul-2023 12:00 am (ACT Local Time)
Show close time for other time zones",151004 - Legal Services,16-Oct-2019,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Demand Driven,"The Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability has been established to inquire and make recommendations on all forms of violence, abuse, neglect and exploitation of people with disability.
The Australian Government is funding legal financial assistance to individuals and entities to assist with meeting the costs of legal representation and disbursements associated with engaging with the Royal Commission.","Legal financial assistance will be provided for an individual and may be provided to an entity, for their reasonable legal representation and disbursement costs resulting from:
•being called, or granted leave to appear, as a witness at a hearing of the Royal Commission, or
•being requested to attend, or attending an interview of the Royal Commission, or
•complying with a notice to give information or a statement in writing that will be used as evidence in the Royal Commission, and/or
•complying with a notice to produce issued by the Royal Commission, and
•where the entity, excluding an individual, would not able to meet these costs without incurring serious financial hardship.
An 'entity' can be a person who is an employee or former employee of any 'disability service ' who is not representing their employer.
If you have been called by the Royal Commission, in your personal capacity, you will be eligible for legal financial assistance.
If your organisation has been called, you may be eligible for legal financial assistance. The organisation will be subject to an assessment of whether it can meet the cost of its legal representation without incurring serious financial difficulty.","Assessment timeframes
Completed applications will be assessed within 21 days. Incomplete applications will not be assessed. You will be notified if your application is incomplete, and requested to provide missing information.
If you receive less than 21 days' notice of appearing or attending an interview at the Royal Commission, the department will try to assess your application before the date of your appearance.
How are payments made
If a grant is approved, the department will only pay after the work has been performed, and a claim has been made to the department. The Commonwealth Legal Financial Assistance Schemes Assessment of Costs (2012) sets the maximum amount that the department can pay under grants.","$13,521,000.00","Apply by downloading the application form (in GO Documents), and email it to finass@ag.gov.au with any attachments.
If you cannot email the application, or need further information, telephone the Financial Assistance Section on 02 6141 4770 or 1800 117 995 between 8.30am–5.00pm, Monday to Friday.
If you are deaf or have a hearing or speech impairment contact the National Relay Service and give 02 614 4770 as the number to call.
Financial Information - Organisation
The organisation must provide financial details, including annual income from all sources and total value of all assets. Supporting documentation should be attached to the application. All information provided to the department is treated in confidence.
Costs covered
Reasonable legal representation and disbursement costs incurred as a witness for the Royal Commission. These could include your solicitor's costs and disbursements. The Assessment of Costs provides detailed information of what is payable and at what rate.","Legal framework
The Commonwealth Guidelines for Legal Financial Assistance 2012 (the Guidelines) establish the Royal Commission and Inquiries scheme.
The operation of the Guidelines are modified by the Commonwealth Guidelines for Legal Financial Assistance 2012: Addendum for the Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability.
The Commonwealth Legal Financial Assistance Schemes Assessment of Costs (July 2012) provides detailed information of what is payable and at what rate.
All documents can be found in GO Documents.",,,View Addenda,,,
GO6272,Australian Trade and Investment Commission (Austrade),"4-Jul-2023 4:00 pm (ACT Local Time)
Show close time for other time zones",341000 - Trade and Tourism,23-May-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Demand Driven,"The Reviving International Tourism Grant Program (RITG) is designed to assist eligible small to medium enterprises (SMEs) that work directly within the Australian tourism export or travel wholesale industry sectors (inbound tour operators or outbound tour operators/travel wholesalers) to rebuild and strengthen international supply chains by undertaking demand driving activities such as attending expos, business development and marketing.
The key objectives of RITG are to:
attract and drive visitation from key international markets to Australia, including to regional areas
aid recovery of the tourism exporters (inbound tour operators) and travel wholesalers (outbound tour operators/travel wholesalers) most significantly affected by the COVID-19 pandemic, and
support the diversification of inbound international tourism markets, both from existing and emerging markets.
RITG aligns with Priority 6 of the THRIVE 2030 strategy – Build markets and attract visitors and Priority 4 - Embrace leading-edge business practices.
RITG will be delivered through two grant Streams: Stream 1 – Reconnect with international markets and Stream 2 – Digital uplift. This grant opportunity is for Stream 2.
Stream 2 – Digital uplift - has grant funding up to $3m to undertake digital uplift activities including website overhaul/audit, online booking capability, integration and automation of systems, production of brochures, social media modernisation and accessibility upgrades.","Applicants must:
be an Australian tourism exporter (inbound tour operator) or travel wholesaler (outbound tour operator/travel wholesaler)
be able to show evidence of attendance at a Tourism Australia B2B event as a seller (such as ATE, TA Marketplace) between 2017-2019 or 2022, or be a current financial member of ATEC or CATO prior to April 2023
have total turnover (as defined in the RITG Guidelines) that is less than $20 million in the year preceding the application year.","Stream 2 Applications open at 10.00 am AEST on 23 May 2023 and close at 4.00 pm AEST on 4 July 2023.
The maximum grant amount is $2,000 per grantee.
The amount will be paid as one payment via a Virtual Credit Card (VCC) to be expended by 30 June 2024, for activities and costs incurred in either 2022-23 or 2023-24.
Grant funding can only be used from the date of the VCC being issued until 30 June 2024. Grant funding cannot be applied retrospectively.","$3,000,000.00","Before applying, you must read and understand the RITG Guidelines which can be found at Austrade.gov.au.
To apply for RITG you must:
Complete your application through Austrade’s SmartyGrants portal.
Provide all the information and declarations requested.
Address and meet all required eligibility criteria.
Include sufficient evidence as outlined in the guidelines that adequately supports your eligibility.
Submit your online application by 4.00 pm AEST on 4 July 2023. 
No late applications will be accepted. ","You are responsible for ensuring that your application is complete and accurate. 
You are unable to make any material alterations or additions after you have submitted your application. If the selection process identifies unintentional errors in your application, at their discretion, Austrade, ATEC or CATO may contact you to correct or clarify the errors.
You should keep a copy of your application and any supporting documents. 
We will acknowledge that we have received your application. ",,,,"From $2,000.00 to $2,000.00",,
GO6035,National Health and Medical Research Council (NHMRC),"5-Jul-2023 5:00 pm (ACT Local Time)
Show close time for other time zones",231013 - Medical Research,3-Feb-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Targeted or Restricted Competitive,"The 16th transnational funding call of the Joint Programming Initiative on Antimicrobial Resistance (JPIAMR) is supporting proposals for ‘Development of innovative strategies, tools, technologies, and methods for diagnostics and surveillance of antimicrobial resistance (AMR).’
NHMRC aims to support Australian researchers who are listed on the successful applications submitted to JPIAMR under the following topics:
Topic 1: to develop novel, or improve existing, diagnostics, including point of care diagnostics, that can rule out antimicrobial use or help identify the most effective antimicrobial treatment
Topic 2: to develop or improve existing strategies, technologies or methods, or data use strategies to support One Health AMR surveillance
NHMRC will only fund research in One Health settings related to human health and the Environment setting where it is related to human health.
Further information and the JPIAMR call text: https://www.jpiamr.eu/calls/diagnostics-surveillance-call-2023/","Applications will only be accepted from NHMRC approved Administering Institutions. A list of NHMRC approved Administering Institutions is available at:
https://www.nhmrc.gov.au/funding/manage-your-funding/nhmrcs-administering-institutions
Applications must satisfy all the requirements set out in the NHMRC-JPIAMR 2023: Antimicrobial resistance diagnostics and surveillance funding call Grant Guidelines.",1 to 5 years,"$2,000,000.00",Applications must be submitted electronically using NHMRC’s online grants management system (Sapphire) unless otherwise advised by NHMRC.,"The following information is specific to the NHMRC application process for Australian-based partners of consortia which have been invited to submit full applications by JPIAMR:
The JPIAMR secretariat will advise NHMRC of those invited to submit full applications.
NHMRC will then invite the relevant Australian researchers via email to submit applications for NHMRC funding through Sapphire.
Australian applicants must provide all documentation and budget requests as instructed in the Grant Guidelines document.",,NHMRC-JPIAMR Funding Call 2023,,"From $0.00 to $2,000,000.00",,
GO1337,Department of Education,"30-Jun-2023 12:00 pm (ACT Local Time)
Show close time for other time zones",271004 - Research and Technology Based Services,14-Jun-2018,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Targeted or Restricted Competitive,"The National Collaborative Research Infrastructure Strategy (NCRIS) program aims to:
• catalyse and support a national network of research infrastructure projects
• through the network, support high quality research that will drive greater innovation in the Australian research sector and the economy more broadly
•empower Australian researchers to address key national and global challenges and support collaboration between researchers and other end users, such as industry both nationally and internationally.","Refer to the attached Guidelines.  
Note : Grants were selected by the Government through a two year process which culminated in its consideration of its response to the 2016 Roadmap and Investment Plan.
 ",2018-2023,"$1,284,000.00",No application process.,Refer to the attached Guidelines.,NCRIS 2018,,View Addenda,,,
GO3427,National Indigenous Australians Agency,"30-Jun-2023 5:00 pm (ACT Local Time)
Show close time for other time zones",251004 - Indigenous Employment and Business,31-Dec-2019,"NSW, SA, WA, QLD, NT",Demand Driven,"The Australian Government is subsidising 1,000 new employment opportunities for Community Development Program (CDP) participants in remote Australia to support economic development.
Tranche One of the 1,000 Jobs Package (the Package) grant funding round provided an initial opportunity for up to 200 new jobs. Tranche One closed on 30 December 2019. Tranche Two of the Package opened on 31 December 2019 and will close on 30 June 2023, or earlier if the 1,000 jobs are fully allocated.
Tranche Two of the 1,000 Jobs Package has a General stream and Youth Engagement Jobs (YEJ) stream. The General stream is open to any industry, if the proposed job and employer are eligible. The YEJ stream supports employers to create jobs to work with people aged 24 years and younger to strengthen their engagement with their culture and community and/or promote mental health and social wellbeing. 
The Package provides a subsidy over two years and is made up of a wage subsidy payment and retention bonuses. The YEJ stream attracts additional payments, including a commencement payment and employee bonus payments. 
Positions will be subsidised up to the minimum wage, and can be full-time or part-time. Positions will be subsidised for a minimum of 15 hours per week on average, up to 38 hours per week, with the subsidy tapering in the second year. 
Employers are responsible for topping up employees’ wages to the relevant award. Employers are also responsible for providing employee entitlements, such as superannuation and paid leave. ","All applicants must meet all eligibility criteria outlined under section 4 of the 1,000 Jobs Package Tranche Two Grant Opportunity Guidelines.
Applicants applying for YEJ positions must also meet all eligibility criteria outlined under section 5 of the 1,000 Jobs Package Tranche Two Grant Opportunity Guidelines. ",,,"Applications for funding must be submitted using the online application form. The online application form can be found through this link: 
https://forms.business.gov.au/smartforms/servlet/SmartForm.html?formCode=PRD00-NIAAStdNoTblv1&FRID=4-GQDE8UG&RegID=4-GQS1270
 ","Grant Applicants are encouraged to read the Information Sheet attached and refer to the Grant Opportunity Guidelines and CDP Region Map, prior to submitting an online application.
Prior to submitting an application for funding, applicants must consult with the NIAA and local CDP providers on the details of their application. If applicants do not do this, they will not be eligible for funding. ",new docs uploaded,"1,000 Jobs Package (Tranche Two)",View Addenda,,,
