link,name,bio,degree/0,certifications/0,certifications/1,academic_position/0,publication/0,grand/0,degree/1,degree/2,academic_position/1,publication/1,publication/2,publication/3,publication/4,publication/5,publication/6,publication/7,publication/8,publication/9,publication/10,publication/11,publication/12,publication/13,publication/14,publication/15,publication/16,publication/17,publication/18,publication/19,publication/20,publication/21,publication/22,publication/23,publication/24,grand/1,grand/2,grand/3,grand/4,grand/5,grand/6,grand/7,grand/8,grand/9,grand/10,grand/11,grand/12,grand/13,grand/14,grand/15,grand/16,grand/17,grand/18,grand/19,grand/20,grand/21,grand/22,grand/23,grand/24,certifications/2,certifications/3,academic_position/2,academic_position/3,academic_position/4,degree/3,degree/4,degree/5,degree/6,degree/7,degree/8
https://profiles.uts.edu.au/Angela.Abbott,Angela Abbott,"Experienced in global relationship management, integrated marketing communications and business development with in excess of 20 years working across education, travel and professional services sectors. Currently an international alumni relations leader who successfully develops and manages programs and networks both in Australia and around the globe. 
Excellent organisational skills with a proven record of success in customer centric sales and integrated marketing initiatives, process development and stakeholder/relationship management. Successfully establish key professional relationships with internal and external stakeholders as well as development of new business strategies through effective engagement opportunities in order to deliver the highest standard of outcomes.",Master of Commerce (Marketing),Diploma of Management,Cert IV Frontline Management,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Mona.AbdAl-Salam,Mona Abd Al Salam,"Mona is a Lecturer at the School of the Built Environment, Faculty of Design Architecture and Building, University of Technology Sydney (UTS), Australia. After completing the Master of Engineering Studies in Construction Management degree from the University of Auckland, New Zealand, she joined UTS in 2014 and has been involved in the development of several subjects in the Bachelor of Construction Project Management course. Mona completed her Ph.D. in Design Management at the University of Technology Sydney. In her Ph.D. study, she developed a novel method for capturing interactions during design meetings in construction projects. Her research adopted a practice-based inter-organisational perspective to examine interdisciplinary collaboration in the detailed design phase in construction projects.","PhD, Design management",None,,Lecturer,EXPLORING INTERDISCIPLINARY COLLABORATION IN THE DETAILED DESIGN PHASE OF CONSTRUCTION PROJECTS,Climate Resilient Housing Toolkit: Making it work for older Australians,Masters of Engineering Studies in Construction Management,"Bachelor of Civil Engineering, Structural Engineering",Subject Coordinator and Tutor,Collaboration to improve constructability in detailed design phase – can bim and relational contracting help?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Mahrokh.AbdollahiLorestani-1,Mahrokh Abdollahi Lorestani,"Dr. Mahrokh Abdollahi (IEEE member) received the M.S. and Ph.D. degrees in Information Technology from UTS University, Sydney, NSW, Australia, in 2016 and 2022, respectively. She worked as a computer engineer on various networking projects from 2006 to 2014. Mahrokh was awarded  UTS doctoral scholarship,  2019 FEIT Female HDR Top-up Scholarships, and Vice-Chancellor's Postgraduate Research Student Conference Fund.",PhD of IT,None,,Research assisstant and Casual Tutor,Dynamic Routing Protocol Selection in Multi-Hop Device-to-Device Wireless Networks,None,Master of IT,Bachelor of Computer Engineering-Hardware,Casual Intstructor,Performance analysis of multi-hop routing protocols in SDN-based wireless networks,Software-defined networking-based adaptive routing for multi-hop multi-frequency wireless mesh,A Routing Protocol for SDN-based Multi-hop D2D Communications,A Routing Framework for Offloading Traffic from Cellular Networks to SDN-based Multi-Hop Device-to-Device Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Jodat.Abdullah,Jodat Abdullah,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Babak.Abedin,Babak Abedin,"Dr Abedin's research examines positive and negative impacts of social information systems on organisations and people.In particular, his research interest is at the intersection of Health analytics, social analytics, and digital transformation and innovation. Babak's research is inspired by behavioural theories and real-world problems, and is often funded by Industry parners (exceeding $150k). He has led supervision of four HDR candidates to completion, and is currently leading supervision of six other HDR students. His publications have appeared in various top outlets such as the journal of the Association for Information Science and Technology, Journal of the American Medical Informatics, Behaviour & Information Technology, Information Systems Frontiers, and Computers & Education. Babak has also written for The Conversation and has been invited to speak at CEBIT Australia 2019, and for interviews with ABC News 24, 2Ser Radio and others. He is a HDR coordinator of School of ISM, and also serves at various University and Faculty committees. Babak teaches into Master of IT and Master of Business Analytics programs, and in 2019 received UTS Teaching & Learning Citation for his teaching approach.

Dr Abedin hold a Bachelor of Industrial Engineering from IUST, and Master of Information Technology Management from University of Tehran, Iran.  He has received UNSW's Postgraduate international scholarship in 2006 and completed his PhD in Information Systems in 2010. He moved to Macquarie University in 2009 as a Lecturer and Postgraduate Program Coordinator, and then joined UTS as a Senior Lecturer in Information Systems. Prior to that, he used to work as a business and IT consultant for over six years.",PhD,None,,Lecturer,The role of employees in digital transformation: Application of the Theory of Planned Behavior on Australian employees’ cloud technology usage,Investigating the acceptability and effectiveness of digital monitoring for identifying youth at risk of suicide and improving their engagement with crisis helplines,,,Senior Lecturer,"Engineering Blockchain-based Software Systems: Foundations, Survey, and Future Directions",Explainable and responsible artificial intelligence,Hybrid Organizational Forms In Public Sector's Digital Transformation: A Technology Enactment Approach,Designing and Managing Human-AI Interactions,Explicating AI literacy of employees at digital workplaces,Gender bias in AI-based decision-making systems: a systematic literature review,Managing the tension between opposing effects of explainability of artificial intelligence: a contingency theory perspective,Orchestrating value co-creation in online communities as fluid organisations: firm roles and value creation mechanisms,The Dark Side of Using Online Social Networks: A Review of Individuals' Negative Experiences,What facilitates and constrains value co-creation in online communities: A sociomateriality perspective,Adult learning in online communities of practice: A systematic review,Gender Bias in AI: Implications for Managerial Practices,Introduction to the minitrack on explainable artificial intelligence (XAI),Thirty Six Years of Information Systems Management: A Bibliometric and Thematic Analysis,Understanding the Role of Employees in Digital Transformation: Conceptualization of Digital Literacy of Employees as a Multi-Dimensional Organizational Affordance,What is going on in digital health communities? A typology of support exchanges for cancer patients,"Attraction, selection, and attrition in online health communities: Initial conversations and their association with subsequent activity levels.",Value co-creation in firm sponsored online communities,A Culturally and Language Appropriate Smartphone-based Support Intervention for Enhancinng the Psychological Well-being of Indigenous Australian People with cancer.,Search Engine Advertising Perceived Effectiveness: A Resource-Based Approach on the Role of Advertisers' Competencies,Continuous Transformation of Public Sector Organisations in the Digital Era,Unpacking Support Types in Online Health Communities: An Application of Attraction-Selection-Attrition Theory,A Conceptual Framework of Digital Empowerment of Informal Carers: An Expert Elicitation Study,Orchestrating Firm Sponsored Communities of Interest: A Critical Realist Case Study,APO/UTS-Guidance for APO member Governments On How To Optimally Deal With The Advancement Of Digital Technologies Through Their Policy Intervention To Maximise The Benefits For The Whole Country,Categorising and prioritising content in the Sane Australia peer support forums,Continuous Transformation of Government Agencies in the Digital Era,Developing a Novel Coding Scheme for Content and Thematic Analysis of Cancer Council Online Community,Bioenergy alternatives to hazard reduction burns: myth or reality,Harnessing the Power of Social Platforms for Caring for Older People: A Social Media Strategy Plan for the Whiddon Group,FEIT Research Seed Funding Grant,"Mapping the area of Tathra to study if MLFR (Mechanical Fuel Load Reduction), along with prescribed burning, can save houses (in future) at Tathra NSW",Social Media Cyberbullying and Online Disclosure: Exploring the Pattern and Effects of Bad Online Behaviour,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Sophie.Abel,Sophie Abel,None,None,None,,None,Are You Being Rhetorical? A Description of Rhetorical Move Annotation Tools and Open Corpus of Sample Machine-Annotated Rhetorical Moves,None,,,,AcaWriter A learning analytics tool for formative feedback on academic writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Nadine.Abellanoza,Nadine Abellanoza,None,"MBA, Marketing",None,,None,None,None,"Bachelors degree, Marketing,","BSc, Medical Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Beeshanga.Jayawickrama,Beeshanga Abewardana Jayawickrama,"Dr Beeshanga Jayawickrama received BEng in Telecommunications Engineering (Hons I) and PhD in Electronic Engineering (Wireless Communications) degrees from Macquarie University, Sydney, Australia, in 2011 and 2015 respectively. He is currently a Senior Lecturer and the Data Science Engineering Course Director in the Faculty of Engineering and Information Technology, University of Technology Sydney (UTS).

Dr Jayawickrama previously worked in Ericsson, Sweden. He researched on 5G New Radio (NR) receiver algorithms. Some of his inventions are widely used in Ericsson 5G base stations and submitted as 3GPP RAN1 contributions. Prior to joining Ericsson, he worked with Intel Labs, USA, on Licensed Shared Access and Citizens Broadband Radio Service. He has published over 40 prestigious conference/journal papers and US Patents.

His current research interests are in 5G/6G Physical Layer signal processing algorithms, Machine Learning techniques for Physical Layer signal processing, Ultra-Reliable Low-Latency Communications, Non-Terrestrial Networks, Compressed Sensing (Sub-Nyquist Sampling) and spectrum sharing. 

Additionally, he has taught numerous undergraduate and postgraduate subjects in Electronics and Telecommunications at Sydney Institute of Business and Technology, Macquarie University and University of Technology Sydney.

He is the recipient of Macquarie University Medal in Engineering and Vice-Chancellor’s Commendation for Academic Excellence. He received competitive scholarships from Macquarie University and Commonwealth Scientific and Industrial Research Organisation throughout his BEng and PhD studies.",None,None,,None,Improved Layered Normalized Min-Sum Algorithm for 5G NR LDPC,Smart Flood and Storm Intelligence Sensing Initiative,,,,Generation of independent rayleigh faders for discrete signal,A Reinforcement Learning Approach for Fair User Coverage Using UAV Mounted Base Stations Under Energy Constraints,An Adaptive UAV Network for Increased User Coverage and Spectral Efficiency,Distributed Power Allocation Algorithm for General Authorised Access in Spectrum Access System,Low-Overhead Handover-Skipping Technique for 5G Networks,Empirical Power Consumption Model for UAVs,Enabling Technologies for Ultra-Reliable and Low Latency Communications: From PHY and MAC Layer Perspectives,Fairness Aware Resource Allocation for Average Capacity Maximisation in General Authorized Access User,Resource Allocation in Moving and Fixed General Authorized Access Users in Spectrum Access System,Transmit Power Allocation for General Authorized Access in Spectrum Access System Using Carrier Sensing Range,Potential field based inter-UAV collision avoidance using virtual target relocation,REM-based handover algorithm for next-generation multi-tier cellular networks,Priority Access and General Authorized Access Interference Mitigation in the Spectrum Access System,Scalable Spectrum Access System for Massive Machine Type Communication,Enabling Ultra-Reliable and Low Latency Communications through Unlicensed Spectrum,Performance analysis of REM-based handover algorithm for multi-tier cellular networks,"Comprehensive energy consumption model for unmanned aerial vehicles, based on empirical studies of battery performance",Radio spectrum maps for emerging IoT and 5G networks: Applications to smart buildings,Design of Contour Based Protection Zones for Sublicensing in Spectrum Access Systems,Opportunistic Access to PAL Channel for Multi-RAT GAA Transmission in Spectrum Access System,Radio environment maps generation and spectrum sensing testbed for spectrum sharing in 5G networks,Algorithm for Energy Efficient Inter-UAV Collision Avoidance,Considering switching overhead for transmit power allocation for GAA in spectrum access system,Detection of contour boundary for sublicensing in spectrum access systems,CogSat: Cognitive Satellite Radio - SmartSat CRC,MAC protocol design for reliable underwater communication,Massive MIMO for Tactical Communications,Project Corgi - Phase 1 Proof of Concept (POC),Dynamic Spectrum Sharing in B4G Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Kumi.Abeysuriya,Kumi Abeysuriya,"Dr Kumudini (Kumi) Abeysuriya is a sustainable development professional with over 20 years applied research experience in sustainability, with a particular focus on sustainable options for urban water and sanitation. In her previous role as a Senior Research Consultant at the Institute, Kumi worked on a range of projects to influence policy including applied research and specialist advice relating to distributed and decentralised urban water, wastewater and water-energy nexus in Australian and international development sector contexts. 

Kumi completed her PhD at ISF in 2007, that focused on improving the sustainability of urban sanitation in developing Asian countries, drawing on sector information from Sri Lanka. She was also Co-Deputy Director of ISF’s post-graduate program from 2010-2013 that involved supporting the development and coordination of the program.

Kumi also holds a Master of Science in experimental physics from Cornell University, USA, and a Bachelor of Science with first class honours in physics from the University of Peradeniya, Sri Lanka
Prior to joining ISF she provided research and advisory services to the Australian renewable energy sector.",PhD,None,,None,Safe water and sanitation in remote Indigenous communities in Australia: conditions towards sustainable outcomes,Strengthening governance arrangements for small city and town sanitation (14032),"MS, Physics","BSc, Physics",,Safe water and sanitation for all in remote Indigenous Communities: Exploring the roles and opportunities for the water industry,City sanitation planning through a political economy lens,"Faecal sludge reuse in birendranagar, nepal: A case study of the world health organisation’s multiple barrier approach",The multi-barrier approach applied to faecal sludge reuse in Nepal,Decision making process framework and handbooks,Discussion Paper for Working with Remote Aboriginal and Torres Strait Islander communities to improve water service outcomes,Internal Discussion Paper: Context analysis and critical issues for working with remote Indigenous communities to improve water service outcomes,Applying the WHO’s multi-barrier approach to faecal sludge reuse,Achieving safe management: A case for strengthening the attention to liquid streams in on-site and local sanitation,Strengthening local governance arrangements for sanitation: case studies of small cities in Indonesia,Strengthening local government governance for long-term sanitation service delivery,Are we doing the right thing? Critical questioning for city sanitation planning,Exploring legal and policy aspects of urban sanitation and hygiene,Making pathogen hazards visible: a new heuristic to improve sanitation investment efficacy,A review and comparative analysis of indicative service costs for different sanitation service scales in Indonesia,Developing principle-based indicators for the SDGs: A sanitation case study,Learning Brief: Exploring legal and policy aspects of urban sanitation and hygiene,Strengthening Governance Arrangements for Small City and Town Sanitation,"Strengthening institutional and governance arrangements for small city sanitation, Indonesia",The next generation beyond faecal sludge management: seeing the donut and the (w)hole.,Consultative multi-criteria decision making process for drought security,Mellow Yellow: Taking a Systems Thinking Approach to Designing Research on Transitioning to More Sustainable Sewage Management,An analysis of performance data for local scale wastewater services in Indonesia,Effective governance for the successful long-term operation of community scale air limbah systems: Mid-term Observations Report,SNV Urban Sanitation Partnership Phase 2 (14266),Receiving Environment Scenario Assessment Framework - Burwood Beach WWTW Stage 3 Upgrade,Sustainable Sanitation and Hygiene for all in Small Towns,"Transitioning to sustainable sanitation futures: a transdisciplinary pilot project of urine diversion, phosphorous recovery and reuse in agricultural applications",Developing and Applying a Multi-Criteria Decision Support Framework for the Lower Hunter Water Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Mehran.Abolhasan,Mehran Abolhasan,"Professor Mehran Abolhasan completed his B.E in Computer Engineering and PhD in Telecommunications on 1999 and 2003 respectively at the University of Wollongong. From July 2003, he joined the Smart Internet Technology CRC and Office of Information and Communication Technology within the Department of Commerce in NSW, where he proposed a major status report outlining strategies and new projects to improve the communications infrastructure between the NSW Emergency Services Organisations. In July 2004, he joined the Desert knowledge CRC and Telecommunication and IT Research Institute to work on a joint project called the Sparse Ad hoc network for Deserts project (Also known as the SAND project). During 2004 to 2007. He led a team of researchers at TITR to develop prototype networking devices for rural and remote communication scenarios. Furthermore, he led the deployment of a number of test-beds and field studies in that period. In 2008, he accepted the position of Director of Emerging Networks and Applications Lab (ENAL) at the ICTR institute. During his time as the Director of ENAL, he won a number of major research project grants including an ARC DP project and a number of CRC and other government and industry-based grants. He also worked closely with the Director of ICTR in developing future research directions in the area wireless communications. In March 2010, he accepted the position of Senior Lecturer at the School of Computing and Communications within the faculty of Engineering and IT (FEIT) at the University of Technology Sydney , where he is now a Professor. From 2014 to the 2017 period, He served as the Director of Research Programs at FEIT.  In the 2016 to 2022 period, he served as the Deputy Head of School for Research in School of Electrical and Data Engineering. He is currently a member of the GBDTC and the Director of the Software Defined Networking Lab. He is also a member of the newly established state of art RF and Communications Technologies Lab at UTS.

Professor Abolhasan has authored over 180 international publications and has won over seven million dollars in research funding. His Current research Interests are in; Software Defined Networking, Tactile Internet, Intelligent Transportation Systems (ITS), Internet of Things (IoT), Wireless Mesh, Wireless Body Area Networks, 5G/6G Networks and Sensor networks. He is currently a Senior Member of IEEE. He is also an active reviewer for various International Journals and Conferences.","PhD, Wireless Networking",None,,Associate Professor,Intelligent spatial interpolation-based frost prediction methodology using artificial neural networks with limited local data,"Sustainable Sensing, Enhanced Connectivity, and Data Analytics for Precision Urban and Rural Agriculture","BE, Computer Engineering",,Director / Senior Researcher,RF-Self-Powered Sensor for Fully Autonomous Soil Moisture Sensing,Multi-Service Compact Pixelated Stacked Antenna with Different Pixel Shapes for IoT Applications,Statistical Learning-based Adaptive Network Access for the Industrial Internet-of-Things,Intelligent and Reliable Millimeter Wave Communications for RIS-Aided Vehicular Networks,"A comprehensive survey of covert communication techniques, limitations and future challenges",Dynamic Routing Protocol Selection in Multi-Hop Device-to-Device Wireless Networks,Remote Water Salinity Sensor Using Metamaterial Perfect Absorber,Low-profile dual-band pixelated defected ground antenna for multistandard IoT devices.,A multi-layered intrusion detection system for software defined networking <sup>☆</sup>,"Knowledge-defined networking: Applications, challenges and future work",Minute-wise frost prediction: An approach of recurrent neural networks,Statistical Learning-Based Grant-Free Access for Delay-Sensitive Internet of Things Applications,Multi-band SIW Cavity Based Metamaterial Perfect Absorber,"A Review on Antenna Technologies for Ambient RF Energy Harvesting and Wireless Power Transfer: Designs, Challenges and Applications",An agent-based approach to disintegrate and modularise Software Defined Networks controller,Efficient Dual-Band Single-Port Rectifier for RF Energy Harvesting at FM and GSM Bands,Joint Mobile Node Participation and Multihop Routing for Emerging Open Radio-Based Intelligent Transportation System,Mobility Model for Contact-Aware Data Offloading Through Train-to-Train Communications in Rail Networks,Performance analysis of multi-hop routing protocols in SDN-based wireless networks,ProML: A Decentralised Platform for Provenance Management of Machine Learning Software Systems,Science and Technology Parks: A Futuristic Approach,Toward Integrating Intelligence and Programmability in Open Radio Access Networks: A Comprehensive Survey,Software-defined networking-based adaptive routing for multi-hop multi-frequency wireless mesh,An End-to-End (E2E) Network Slicing Framework for 5G Vehicular Ad-Hoc Networks,IoT Sensors and Networks for Next Generation Autonomous Urban Greening and Hydroponics,Characterisation and prediction of end-user quality of experience in real-time multiplayer games using objective network performance criteria,Privacy Preserving Digital Agriculture,Farm-wide Wi-Fi: Next Generation RF and Antenna Technologies for Enhancing Rural and Agricultural Connectivity,Sustainable Energy Solution for Smart Farms: Efficient RF Energy Harvester for Wearable loT Devices,Field Data based Predictive Maintenance and Enhanced Track Design Procedure,Multi-band MIMO Antenna for Enabling Long-range Communications in Rural and Remote Areas,Blockchain based Workflow and Policy Management Platform,IoT Enabled Digital Twin MPC System Development for Industry 4.0 Applications,Designing self-powered agriculture sensor for remote sensing purposes,Blockchain enabled inventory management – A Pilot Project,Intelligent frost prediction and active protection through cyber-physical systems in the agricultural sector,Low Power IoT Design for Remote Telemetry,Extending the Lifetime of Remotely Deployed Sensors Using RF Energy Harvesting,Defence against Data & Device Integrity Attacks in Internet of Things (IoT),RMCRC and Sydney Trains: Responsive Passenger Information System - Stage 2,Remote Tank Diagnostics and Insight,Wireless Data Delivery for Workplace Wearable Technology,Blockchain based IoT for Supply Chain,IoT-enabled water controller research and implementation,Scheduler UI/UX research and implementation,Comprehensive Cloud Application,Scalable IoT Platform for Remote Monitoring in Smart Homes,High Reliability Communication over 5G Unlicensed,,,,,,,,,,,
